x, y, solution
0.269841,0.142857,0.776407
0.285714,0.142857,0.762861
0.301587,0.142857,0.741734
0.31746,0.142857,0.713235
0.333333,0.142857,0.677647
0.349206,0.142857,0.635325
0.365079,0.142857,0.586689
0.380952,0.142857,0.532221
0.396825,0.142857,0.472465
0.412698,0.142857,0.408013
0.428571,0.142857,0.339505
0.444444,0.142857,0.267624
0.460317,0.142857,0.193083
0.47619,0.142857,0.116623
0.492063,0.142857,0.0390034
0.507937,0.142857,-0.0390034
0.52381,0.142857,-0.116623
0.539683,0.142857,-0.193083
0.555556,0.142857,-0.267624
0.571429,0.142857,-0.339505
0.587302,0.142857,-0.408013
0.603175,0.142857,-0.472465
0.619048,0.142857,-0.532221
0.634921,0.142857,-0.586689
0.650794,0.142857,-0.635325
0.666667,0.142857,-0.677647
0.68254,0.142857,-0.713235
0.698413,0.142857,-0.741734
0.714286,0.142857,-0.762861
0.730159,0.142857,-0.776407
0.746032,0.142857,-0.782237
0.761905,0.142857,-0.780292
0.777778,0.142857,-0.770592
0.793651,0.142857,-0.753234
0.809524,0.142857,-0.72839
0.825397,0.142857,-0.696307
0.84127,0.142857,-0.657303
0.857143,0.142857,-0.611767
0.873016,0.142857,-0.560151
0.888889,0.142857,-0.502968
0.904762,0.142857,-0.440787
0.920635,0.142857,-0.374224
0.936508,0.142857,-0.303942
0.952381,0.142857,-0.23064
0.968254,0.142857,-0.155045
0.984127,0.142857,-0.0779098
1,0.142857,0
0,0.15873,0
0.015873,0.15873,0.0837089
0.031746,0.15873,0.166586
0.047619,0.15873,0.247807
0.0634921,0.15873,0.326566
0.0793651,0.15873,0.402079
0.0952381,0.15873,0.473596
0.111111,0.15873,0.540406
0.126984,0.15873,0.601845
0.142857,0.15873,0.657303
0.15873,0.15873,0.706229
0.174603,0.15873,0.748135
0.190476,0.15873,0.782606
0.206349,0.15873,0.8093
0.222222,0.15873,0.82795
0.238095,0.15873,0.838372
0.253968,0.15873,0.840461
0.269841,0.15873,0.834198
0.285714,0.15873,0.819644
0.301587,0.15873,0.796944
0.31746,0.15873,0.766323
0.333333,0.15873,0.728087
0.349206,0.15873,0.682615
0.365079,0.15873,0.630358
0.380952,0.15873,0.571837
0.396825,0.15873,0.507632
0.412698,0.15873,0.438382
0.428571,0.15873,0.364776
0.444444,0.15873,0.287544
0.460317,0.15873,0.207454
0.47619,0.15873,0.125303
0.492063,0.15873,0.0419066
0.507937,0.15873,-0.0419066
0.52381,0.15873,-0.125303
